model,lang,problem_id,total_attempts,compilation_successes,runtime_successes,correct_solutions
anthropic/claude-3.5-sonnet,python,3,1,1,1,1
anthropic/claude-3.5-sonnet,python,4,1,1,1,1
anthropic/claude-3.5-sonnet,python,28,2,2,2,0
deepseek/deepseek-chat,python,3,1,1,1,1
deepseek/deepseek-chat,python,4,1,1,1,1
gemini-exp-1206,python,28,1,1,1,0
gemini-2.0-flash-thinking-exp-01-21,python,28,1,1,1,0
openai/o1-mini-2024-09-12,python,28,2,2,2,0
gemini-2.0-flash-exp,python,28,1,1,1,0
openai/o1,python,28,2,2,2,0
deepseek/deepseek-r1,python,28,1,1,1,0
anthropic/claude-3.5-sonnet,ocaml,3,1,1,1,1
deepseek/deepseek-chat,ocaml,3,1,0,0,0
anthropic/claude-3.5-sonnet,julia,4,1,1,1,1
anthropic/claude-3.5-sonnet,julia,3,1,1,1,0
anthropic/claude-3.5-sonnet,julia,19,3,2,2,0
anthropic/claude-3.5-sonnet,julia,20,3,2,2,0
anthropic/claude-3.5-sonnet,julia,21,3,2,2,0
anthropic/claude-3.5-sonnet,julia,11,3,2,2,0
anthropic/claude-3.5-sonnet,julia,17,1,1,1,0
anthropic/claude-3.5-sonnet,julia,27,1,1,1,0
anthropic/claude-3.5-sonnet,julia,28,2,2,2,0
deepseek/deepseek-chat,julia,3,1,1,1,1
openai/o1-mini-2024-09-12,julia,20,3,3,3,0
openai/o1-mini-2024-09-12,julia,11,3,2,2,0
openai/o1-mini-2024-09-12,julia,21,3,2,2,0
openai/o1-mini-2024-09-12,julia,19,3,2,2,1
openai/o1-mini-2024-09-12,julia,16,1,1,1,0
openai/o1-mini-2024-09-12,julia,17,1,1,1,1
openai/o1-mini-2024-09-12,julia,27,1,1,1,0
openai/o1-mini-2024-09-12,julia,28,2,2,2,0
openai/o1-preview,julia,21,3,3,3,0
openai/o1-preview,julia,11,3,3,3,0
openai/o1-preview,julia,19,3,3,3,1
openai/o1-preview,julia,20,3,2,2,0
openai/o1,julia,20,3,2,2,0
openai/o1,julia,19,3,3,3,1
openai/o1,julia,21,2,1,1,0
openai/o1,julia,11,3,2,2,0
openai/o1,julia,16,1,1,1,0
openai/o1,julia,17,1,1,1,0
openai/o1,julia,27,1,1,1,1
openai/o1,julia,28,2,2,2,0
deepseek/deepseek-r1,julia,11,3,3,3,0
deepseek/deepseek-r1,julia,19,2,2,2,2
deepseek/deepseek-r1,julia,20,2,2,2,2
deepseek/deepseek-r1,julia,21,2,2,2,0
deepseek/deepseek-r1,julia,16,1,1,1,0
deepseek/deepseek-r1,julia,17,1,1,1,1
deepseek/deepseek-r1,julia,27,1,1,1,0
deepseek/deepseek-r1,julia,28,1,1,1,0
deepseek/deepseek-r1-distill-llama-70b,julia,19,1,1,1,0
anthropic/claude-3-5-haiku,julia,19,2,1,1,0
